date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2017-01-03,87.34,87.76,85.98,87.23,20550714,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-04,86.96,87.18,86.4,86.91,15266596,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-05,86.81,87.11,85.2589,86.11,14300816,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-06,86.39,86.62,85.94,86.12,12893298,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-09,85.73,86.77,85.52,86.18,12806609,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-10,86.07,86.9,85.72,86.43,13989033,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-11,86.43,87.08,85.91,87.08,14713067,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-12,86.76,87.27,86.02,86.24,21337435,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-13,87.11,88.17,86.1,86.7,28295985,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-17,84.93,85.22,83.28,83.55,30024625,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-18,83.63,84.23,83.03,83.94,21270134,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-19,84.06,84.67,83.12,83.3,16555554,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-20,83.43,83.83,83.285,83.67,18436790,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-23,83.3,84.0,83.205,83.71,12179161,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-24,83.92,85.0,83.56,84.72,15175319,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-25,85.84,86.17,85.17,86.03,17550952,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-26,85.95,86.95,85.95,86.75,15962835,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-27,86.66,86.98,86.27,86.93,12534881,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-30,86.19,86.5,85.32,86.03,13661859,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-01-31,85.6,86.15,84.09,84.63,15655126,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-01,85.54,86.1,84.68,84.95,15430940,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-02,84.34,84.91,84.16,84.59,11081359,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-03,86.19,87.31,85.865,87.18,17885244,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-06,86.79,87.45,86.61,86.77,11828416,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-07,87.14,87.4,86.48,86.72,9392832,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-08,86.18,86.31,85.37,85.96,13970870,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-09,86.42,87.33,86.13,87.2,13749123,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-10,87.48,87.48,86.89,87.0,10992466,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-13,87.44,88.74,87.43,88.15,18739103,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-14,88.3,89.7,88.1063,89.56,17932086,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-15,90.08,90.87,89.35,90.59,17381807,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-16,90.4,91.04,89.77,90.53,17672724,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-17,89.82,90.465,89.69,90.23,15776589,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-21,90.51,91.15,90.46,91.01,14068315,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-22,90.52,91.3,90.42,91.06,11838980,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-23,91.18,91.34,90.52,91.13,11066952,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-24,90.18,90.54,89.73,90.33,15062298,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-27,90.32,90.725,90.02,90.43,12360988,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-02-28,89.845,90.82,89.585,90.62,15183542,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-01,92.79,93.98,92.61,93.6,24451380,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-02,93.87,93.92,92.03,92.14,16862487,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-03,92.23,93.11,92.19,92.8,12861607,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-06,92.25,92.32,91.1,91.92,15059178,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-07,91.64,92.09,91.21,91.41,11156845,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-08,92.68,92.851,91.1,91.21,17378401,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-09,91.6,92.14,91.15,91.57,13726237,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-10,91.95,92.0,90.53,91.28,13729948,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-13,91.31,91.78,90.931,91.36,10004297,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-14,91.02,91.65,90.765,91.51,10237702,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-15,91.8,92.55,91.13,91.73,16601394,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-16,92.03,92.8057,91.57,91.64,14492039,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-17,91.83,92.04,90.65,90.68,21734743,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-20,90.27,91.17,89.79,90.03,14623597,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-21,90.36,90.64,87.06,87.39,33089241,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-22,86.89,88.07,86.01,87.53,21741025,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-23,87.21,88.5,87.09,87.39,16090092,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-24,87.79,88.09,86.77,87.29,16093237,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-27,85.53,87.401,85.23,87.24,16689294,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-28,87.02,89.02,86.98,88.6,16264403,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-29,88.6,88.82,88.08,88.27,10207578,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-30,88.2,89.46,88.12,89.03,11630996,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-03-31,88.71,88.7397,87.75,87.84,16987605,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-04-03,87.99,88.17,86.6,87.52,19831778,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-04-04,86.89,87.67,86.715,87.31,14280832,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-04-05,88.42,88.54,86.13,86.19,17635486,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-04-06,85.98,86.91,85.25,86.48,14379588,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
2017-04-07,85.93,86.81,85.71,86.18,13092979,JPM,JPMorgan Chase & Co.,Banks,416878000000.0
