date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2018-01-08,48.78,49.7,45.62,46.0,23460829,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-09,46.48,47.29,46.04,46.39,10500163,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-10,46.16,47.27,45.81,47.07,3808752,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-11,47.36,49.05,47.11,49.005,6246581,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-12,49.12,51.88,49.11,51.26,7747448,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-16,50.77,52.335,50.42,51.51,6885254,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-17,51.27,52.42,50.891,52.14,4113573,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-18,52.2,52.29,51.62,52.01,3982283,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-19,52.14,52.77,51.7424,52.62,3871209,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-22,52.49,53.25,52.04,53.16,3591726,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-23,53.18,54.12,52.93,54.06,3192240,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-24,54.04,54.08,52.295,52.97,5551529,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-25,53.46,53.8,52.67,53.17,3618291,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-26,53.51,55.0,53.44,54.94,7318581,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-29,54.0,55.62,53.5108,55.11,8940951,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-30,54.0,55.01,53.15,54.98,7756255,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-31,55.15,56.45,55.07,55.2,5110203,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-01,54.72,55.53,53.8,54.44,5356395,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-02,53.99,54.0,51.3801,51.77,6567155,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-05,51.26,52.42,49.51,49.65,7359006,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-06,48.08,49.45,47.2,48.68,9556611,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-07,49.2,50.61,48.79,49.55,6042727,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
