date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2018-01-08,141.7,142.0,140.92,141.89,5129798,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-09,142.37,145.68,142.26,144.14,8897002,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-10,143.55,144.155,143.32,143.97,6558622,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-11,144.13,144.9,143.69,144.79,4962160,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-12,144.99,146.42,144.9,145.76,5450570,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-16,146.42,148.06,146.03,146.86,8804005,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-17,147.84,148.32,145.48,146.98,10619654,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-18,146.93,147.44,145.97,146.92,5554815,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-19,147.46,147.65,146.42,147.36,8738791,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-22,147.01,148.14,146.72,148.14,7010438,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-23,146.96,147.44,141.62,141.83,17473631,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-24,143.5,143.56,141.8,142.07,13034368,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-25,142.31,144.66,142.2105,144.4,7938846,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-26,144.5,145.6,144.13,145.33,8065646,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-29,144.85,144.94,143.53,143.68,8013444,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-30,143.4,143.82,142.43,142.43,8376092,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-31,142.57,142.57,138.1,138.19,13137396,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-02-01,137.53,140.67,137.0,140.02,9393645,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-02-02,139.02,140.36,137.38,137.68,9262508,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-02-05,136.58,137.0,122.15,130.39,19954145,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-02-06,130.01,132.99,128.0,131.83,19193520,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-02-07,131.89,133.43,131.35,131.42,10550411,JNJ,Johnson & Johnson,Pharmaceuticals,467389000000.0
2018-01-08,57.21,57.25,56.5,56.66,11109312,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-09,56.81,57.1,56.57,56.8,10631689,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-10,56.55,57.37,56.46,57.3,9062360,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-11,57.3,57.61,57.16,57.6,7106259,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-12,57.95,58.81,57.89,58.66,12343067,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-16,61.75,63.78,61.25,62.07,48091315,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-17,62.29,62.59,61.89,62.03,21889883,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-18,62.0,62.12,60.625,61.13,19905799,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-19,61.48,61.48,60.64,61.28,12161865,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-22,60.95,61.44,60.72,61.25,12247493,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-23,61.03,62.13,60.87,61.7,11181493,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-24,62.01,62.11,60.96,61.18,13482091,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-25,61.3,61.38,60.95,61.3,9402325,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-26,61.49,62.08,61.34,62.04,10553733,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-29,61.95,62.14,61.56,61.63,8776884,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-30,60.79,61.25,60.44,60.65,13040748,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-31,60.77,60.8,58.9,59.25,14869040,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-01,59.17,60.34,59.07,59.86,13368001,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-02,59.41,59.97,58.28,58.56,12264081,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-05,58.27,58.95,55.82,56.4,19605679,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-06,55.14,56.77,54.3348,55.46,31006169,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-07,55.17,56.71,55.09,55.88,13692483,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-08,36.72,36.8,36.33,36.45,18941521,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-09,36.44,36.637,36.36,36.41,16011637,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-10,36.34,36.61,36.31,36.47,17794887,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-11,36.64,36.7,36.42,36.56,14328844,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-12,36.63,36.8,36.46,36.54,19203657,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-16,36.57,36.98,36.47,36.6,28972241,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-17,36.82,37.37,36.765,37.18,24034478,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-18,37.17,37.17,36.7,36.99,18924552,PFE,Pfizer,Pharmaceuticals,297863000000.0
