date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2018-01-08,57.21,57.25,56.5,56.66,11109312,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-09,56.81,57.1,56.57,56.8,10631689,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-10,56.55,57.37,56.46,57.3,9062360,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-11,57.3,57.61,57.16,57.6,7106259,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-12,57.95,58.81,57.89,58.66,12343067,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-16,61.75,63.78,61.25,62.07,48091315,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-17,62.29,62.59,61.89,62.03,21889883,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-18,62.0,62.12,60.625,61.13,19905799,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-19,61.48,61.48,60.64,61.28,12161865,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-22,60.95,61.44,60.72,61.25,12247493,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-23,61.03,62.13,60.87,61.7,11181493,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-24,62.01,62.11,60.96,61.18,13482091,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-25,61.3,61.38,60.95,61.3,9402325,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-26,61.49,62.08,61.34,62.04,10553733,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-29,61.95,62.14,61.56,61.63,8776884,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-30,60.79,61.25,60.44,60.65,13040748,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-01-31,60.77,60.8,58.9,59.25,14869040,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-01,59.17,60.34,59.07,59.86,13368001,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-02,59.41,59.97,58.28,58.56,12264081,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-05,58.27,58.95,55.82,56.4,19605679,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-06,55.14,56.77,54.3348,55.46,31006169,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
2018-02-07,55.17,56.71,55.09,55.88,13692483,MRK,Merck & Co.,Pharmaceuticals,206187000000.0
