date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2018-01-08,36.72,36.8,36.33,36.45,18941521,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-09,36.44,36.637,36.36,36.41,16011637,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-10,36.34,36.61,36.31,36.47,17794887,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-11,36.64,36.7,36.42,36.56,14328844,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-12,36.63,36.8,36.46,36.54,19203657,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-16,36.57,36.98,36.47,36.6,28972241,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-17,36.82,37.37,36.765,37.18,24034478,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-18,37.17,37.17,36.7,36.99,18924552,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-19,37.19,37.28,36.5,36.94,29538600,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-22,36.89,37.07,36.73,36.93,20285144,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-23,36.82,37.08,36.54,36.82,17578034,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-24,36.99,37.0701,36.731,36.93,17716499,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-25,36.97,37.34,36.9,37.23,18015415,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-26,37.3,39.09,37.3,39.01,48805858,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-29,39.0,39.43,38.77,39.02,34894666,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-30,38.21,38.75,37.35,37.8,45999703,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-01-31,37.92,37.99,36.83,37.04,34022734,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-02-01,36.61,37.395,36.61,36.83,28176379,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-02-02,36.6,37.25,36.51,36.61,24277891,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-02-05,36.48,36.7,34.0,34.67,40288128,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-02-06,34.16,35.475,34.0,35.28,53164235,PFE,Pfizer,Pharmaceuticals,297863000000.0
2018-02-07,35.13,35.65,34.97,34.98,29370002,PFE,Pfizer,Pharmaceuticals,297863000000.0
