date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2017-01-03,115.8,116.33,114.76,116.15,28781865,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-04,115.85,116.51,115.75,116.02,21118116,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-05,115.92,116.8642,115.81,116.61,22193587,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-06,116.78,118.16,116.47,117.91,31751900,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-09,117.95,119.43,117.94,118.99,33561948,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-10,118.77,119.38,118.3,119.11,24462051,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-11,118.74,119.93,118.6,119.75,27588593,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-12,118.895,119.3,118.21,119.25,27086220,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-13,119.11,119.62,118.81,119.04,26111948,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-17,118.34,120.24,118.22,120.0,34439843,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-18,120.0,120.5,119.71,119.99,23712961,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-19,119.4,120.09,119.37,119.78,25597291,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-20,120.45,120.45,119.7346,120.0,32597892,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-23,120.0,120.81,119.77,120.08,22050218,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-24,119.55,120.1,119.5,119.97,23211038,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
2017-01-25,120.42,122.1,120.28,121.88,32586673,AAPL,Apple,"Technology Hardware, Storage & Periph...",2920520000000.0
