Symbol,Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,41541640075
AA,Alcoa,Metals & Mining,16610798569
AAC,Ares Acquisition,Blank Check / SPAC,1466999931
AACG,ATA Creativity Global,Diversified Consumer Services,42986351
AACI,Armada Acquisition I,Blank Check / SPAC,203988565
AADI,Aadi Bioscience,Biotechnology,372548624
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,107575636
AAL,American Airlines Group,Airlines,11788745727
AAMC,Altisource Asset Management,Real Estate Management & Development,30956733
AAME,Atlantic American,Insurance,60524442
AAN,The Aaron's Company,Specialty Retail,704166705
AAOI,Applied Optoelectronics,Communications Equipment,91877381
AAON,"AAON, Inc.",Building Products,2947419135
AAP,Advance Auto Parts,Specialty Retail,13163477920
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.92052E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,486499961
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2845767921
AATC,Autoscope Technologies,Scientific & Technical Instruments,33617875
AAU,Almaden Minerals,Metals & Mining,49399560
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2595814856
AB,AllianceBernstein Holding,Capital Markets,4656835071
ABB,ABB Ltd,Electrical Equipment,64989704175
ABBV,AbbVie,Biotechnology,2.86455E+11
ABC,AmerisourceBergen,Health Care Providers & Services,32424597379
ABCB,Ameris Bancorp,Banks,3227433683
ABCL,AbCellera Biologics,Biotechnology,2770253303
ABCM,Abcam,Biotechnology,4287465214
ABEO,Abeona Therapeutics,Biotechnology,44718491
ABEV,Ambev,Beverages,50047156222
ABG,Asbury Automotive Group,Specialty Retail,4018085778
ABGI,ABG Acquisition I,Blank Check / SPAC,189072808
ABIO,ARCA biopharma,Biotechnology,34151934
ABM,ABM Industries,Commercial Services & Supplies,3043881432
ABMD,Abiomed,Health Care Equipment & Supplies,15088620300
ABNB,Airbnb,"Hotels, Restaurants & Leisure",1.12837E+11
ABOS,Acumen Pharmaceuticals,Biotechnology,177259918
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2774379001
ABSI,Absci,Biotechnology,780218423
ABST,Absolute Software,Software-Application,438615291
ABT,Abbott Laboratories,Health Care Equipment & Supplies,2.11953E+11
ABTX,Allegiance Bancshares,Banks,931595773
ABUS,Arbutus Biopharma,Biotechnology,447412413
ABVC,ABVC BioPharma,Biotechnology,71952646
AC,Associated Capital Group,Capital Markets,924157368
ACA,Arcosa,Construction & Engineering,2801665244
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,297630000
ACAD,ACADIA Pharmaceuticals,Biotechnology,4081685229
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420900000
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,320136700
ACAX,Alset Capital Acquisition,Blank Check / SPAC,107150900
ACB,Aurora Cannabis,Pharmaceuticals,889160124
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61750799
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15875928031
ACCD,Accolade,Health Care Technology,1226677888
ACCO,ACCO Brands,Commercial Services & Supplies,799399800
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,374624990
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1256395508
ACER,Acer Therapeutics,Pharmaceuticals,41070271
ACET,Adicet Bio,Health Care Providers & Services,756069759
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,140220615
ACGL,Arch Capital Group,Insurance,18382680039
ACH,Aluminum Corporation of China,Metals & Mining,15301738483
ACHC,Acadia Healthcare Company,Health Care Providers & Services,6117831100
ACHL,Achilles Therapeutics,Biotechnology,119690390
ACHR,Archer Aviation,Aerospace & Defense,1207709820
ACHV,Achieve Life Sciences,Biotechnology,68307257
ACI,Albertsons Companies,Grocery Stores,16336509931
ACII,Atlas Crest Investment II,Blank Check / SPAC,422452509
ACIU,AC Immune,Biotechnology,374820701
ACIW,ACI Worldwide,Software,3827028473
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156110500
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2698343157
ACLX,Arcellx,Biotechnology,501027132
ACM,AECOM,Construction & Engineering,11147723750
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1352111997
ACN,Accenture,IT Services,2.15966E+11
ACNB,ACNB Corporation,Banks,304900647
ACOR,Acorda Therapeutics,Biotechnology,22127999
ACQR,Independence Holdings,Blank Check / SPAC,606057791
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,121082331
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,742803570
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,417018750
ACRS,Aclaris Therapeutics,Pharmaceuticals,1093758714
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,41057547
ACST,Acasti Pharma,Pharmaceuticals,55009020
ACT,Enact Holdings,Insurance-Specialty,3763255533
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,385453404
ACTG,Acacia Research,Professional Services,201839037
ACU,Acme United,Commercial Services & Supplies,120175100
ACVA,ACV Auctions,Software-Application,2395573247
ACXP,Acurx Pharmaceuticals,Biotechnology,34383552
ADAG,Adagene,Biotechnology,173871036
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,299761865
ADAP,Adaptimmune Therapeutics,Biotechnology,333839166
ADBE,Adobe,Software,2.20271E+11
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,4862590461
ADCT,ADC Therapeutics,Communications Equipment,1112984058
ADER,26 Capital Acquisition,Blank Check / SPAC,339281240
ADES,Advanced Emissions Solutions,Chemicals,116814200
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,341205019
ADGI,Adagio Therapeutics,Biotechnology,428320188
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,89057746870
ADIL,Adial Pharmaceuticals,Pharmaceuticals,46489240
ADM,Archer-Daniels-Midland Company,Food Products,49408065499
ADMA,ADMA Biologics,Biotechnology,358533600
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,88780719
ADN,Advent Technologies Holdings,Utilities-Renewable,121983575
ADNT,Adient,Auto Components,3934701052
ADOC,Edoc Acquisition,Blank Check / SPAC,55648748
ADP,Automatic Data Processing,IT Services,94489116451
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,2094936061
ADRA,Adara Acquisition,Blank Check / SPAC,142025000
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,124500000
ADS,Alliance Data Systems,IT Services,2932452833
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,389487034
ADSK,Autodesk,Software,49053978554
ADT,ADT Inc.,Commercial Services & Supplies,7151820795
ADTH,AdTheorent Holding Company,Advertising Agencies,775125759
ADTN,ADTRAN,Communications Equipment,938148089
ADTX,Aditx,Biotechnology,18642800
ADUS,Addus HomeCare,Health Care Providers & Services,1410156711
ADV,Advantage Solutions,Advertising Agencies,2137746172
ADVM,Adverum Biotechnologies,Biotechnology,136431407
ADXN,Addex Therapeutics,Biotechnology,34208725
ADXS,Advaxis,Biotechnology,17622198
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",163445657
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,293400000
AEAE,AltEnergy Acquisition,Blank Check / SPAC,285487519
AEE,Ameren,Multi-Utilities,23813789630
AEG,Aegon,Insurance,10811343870
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133308000
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,8782986
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,297138714
AEI,Alset EHome International,Real Estate-Development,49439227
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3441879268
AEL,American Equity Investment Life Holding Company,Insurance,3919656156
AEM,Agnico Eagle Mines,Metals & Mining,27710439392
AEMD,Aethlon Medical,Health Care Equipment & Supplies,22650054
AENZ,Aenza,Engineering & Construction,307485375
AEO,American Eagle Outfitters,Specialty Retail,3101627631
AEP,American Electric Power Company,Electric Utilities,49793744811
AER,AerCap Holdings,Trading Companies & Distributors,13754908645
AERC,AeroClean Technologies,Pollution & Treatment Controls,50375688
AERI,Aerie Pharmaceuticals,Pharmaceuticals,474240639
AES,The AES Corporation,Independent Power and Renewable Elect...,16985203691
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",70846839
AEVA,Aeva Technologies,Auto Parts,987092607
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18110447
AEYE,AudioEye,Software,79033118
AEZS,AEterna Zentaris,Biotechnology,44211255
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,215193740
AFAQ,AF Acquisition,Blank Check / SPAC,273000000
AFBI,Affinity Bancshares,Banks,103523004
AFCG,AFC Gamma,REIT-Specialty,408678030
AFG,American Financial Group,Insurance,12758514633
AFI,Armstrong Flooring,Building Products,33104992
AFIB,Acutus Medical,Medical Devices,53110506
AFL,Aflac,Insurance,42416717759
AFMD,Affimed,Biotechnology,533096636
AFRM,Affirm Holdings,IT Services,13696604116
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302500000
AFYA,Afya Limited,Diversified Consumer Services,1409209598
AG,First Majestic Silver,Metals & Mining,3483112186
AGAC,African Gold Acquisition,Blank Check / SPAC,505597529
AGBA,AGBA Acquisition,Blank Check / SPAC,56141599
AGCB,Altimeter Growth 2,Blank Check / SPAC,573394490
AGCO,AGCO Corporation,Machinery,10608747418
AGE,AgeX Therapeutics,Biotechnology,34384295
AGEN,Agenus,Biotechnology,717459646
AGFS,AgroFresh Solutions,Chemicals,102213935
AGFY,Agrify,Machinery,123490549
AGGR,Agile Growth,Blank Check / SPAC,377928720
AGI,Alamos Gold,Metals & Mining,3229494778
AGIL,AgileThought,Software-Application,235311326
AGIO,Agios Pharmaceuticals,Biotechnology,1665350908
AGL,agilon health,Medical Care Facilities,10037473259
AGLE,Aeglea Biotherapeutics,Biotechnology,116988167
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1215161543
AGM.A,Federal Agricultural Mortgage,Credit Services,1204194603
AGMH,AGM Group Holdings,Capital Markets,47296860
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,7088354806
AGO,Assured Guaranty,Insurance,4265342666
AGR,Avangrid,Electric Utilities,18029996007
AGRI,AgriFORCE Growing Systems,Farm Products,54208440
AGRO,Adecoagro,Food Products,1307215611
AGRX,Agile Therapeutics,Pharmaceuticals,31823419
AGS,PlayAGS,"Hotels, Restaurants & Leisure",253230108
AGTC,Applied Genetic Technologies,Biotechnology,56282686
AGTI,Agiliti,Health Information Services,2751789041
AGX,Argan,Construction & Engineering,637545338
AGYS,Agilysys,Software,1034046312
AHCO,AdaptHealth,Health Care Providers & Services,2303234800
AHG,Akso Health Group,Credit Services,126517118
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1304233203
AHI,Advanced Human Imaging,Software-Application,37254360
AHPA,Avista Public Acquisition II,Blank Check / SPAC,289742500
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,13445359
AHRN,Ahren Acquisition,Blank Check / SPAC,371247990
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,370106363
AI,C3.ai,Software,2739669495
AIB,AIB Acquisition,Blank Check / SPAC,111284258
AIG,American International Group,Insurance,51370491900
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,40588388
AIHS,Senmiao Technology,Consumer Finance,15143209
AIKI,AIkido Pharma,Biotechnology,40804903
AIM,AIM ImmunoTech,Biotechnology,48821427
AIMC,Altra Industrial Motion,Machinery,2631640554
AIN,Albany International,Machinery,2739968428
AINC,Ashford,Capital Markets,54534116
AINV,Apollo Investment,Capital Markets,847144245
AIP,Arteris,Semiconductors,439051801
AIR,AAR Corp.,Aerospace & Defense,1696832858
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,9260877774
AIRG,Airgain,"Electronic Equipment, Instruments & C...",78953125
AIRI,Air Industries Group,Aerospace & Defense,27635713
AIRS,AirSculpt Technologies,Medical Care Facilities,777849982
AIRT,Air T,Air Freight & Logistics,65191687
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3912564208
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1145695612
AIZ,Assurant,Insurance,10463110004
AJG,Arthur J. Gallagher & Company,Insurance,36212912048
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3096119009
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,264827980
AKA,a.k.a. Brands Holding,Internet Retail,608505021
AKAM,Akamai Technologies,IT Services,19308986342
AKAN,Akanda,Drug Manufacturers-Specialty & Generic,238161535
AKBA,Akebia Therapeutics,Biotechnology,442203679
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290570809
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1861807392
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2136097479
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2210380278
AKRO,Akero Therapeutics,Biotechnology,533946709
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",375052670
AKTX,Akari Therapeutics,Pharmaceuticals,62030419
AKU,Akumin,Diagnostics & Research,97929703
AKUS,Akouos,Biotechnology,166260607
AKYA,Akoya Biosciences,Medical Instruments & Supplies,425344666
AL,Air Lease,Trading Companies & Distributors,5165197290
ALAC,Alberton Acquisition,Blank Check / SPAC,53716626
ALB,Albemarle,Chemicals,26055077760
ALBO,Albireo Pharma,Biotechnology,615708388
ALC,Alcon,Medical Instruments & Supplies,39966597051
ALCC,AltC Acquisition,Blank Check / SPAC,624152000
ALCO,Alico,Food Products,274502015
ALDX,Aldeyra Therapeutics,Biotechnology,291656990
ALE,ALLETE,Electric Utilities,3597554382
ALEC,Alector,Biotechnology,1236339710
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1728339959
ALF,"ALFI, Inc.",Software-Infrastructure,29275481
ALG,Alamo Group,Machinery,1754918932
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,5706915309
ALGN,Align Technology,Health Care Equipment & Supplies,35689635581
ALGS,Aligos Therapeutics,Biotechnology,91151903
ALGT,Allegiant Travel Company,Airlines,2921828001
ALHC,Alignment Healthcare,Health Care Providers & Services,2093279741
ALIM,Alimera Sciences,Pharmaceuticals,38739275
ALIT,Alight,Software-Application,5685036031
ALJJ,ALJ Regional Holdings,IT Services,109838792
ALK,Alaska Air Group,Airlines,7362219988
ALKS,Alkermes,Biotechnology,4533512170
ALKT,Alkami Technology,Software-Application,1346098812
ALL,The Allstate Corporation,Insurance,38854315906
ALLE,Allegion,Building Products,10150907865
ALLG,Allego,Auto Parts,4749657600
ALLK,Allakos,Biotechnology,321583068
ALLO,Allogene Therapeutics,Biotechnology,1433230079
ALLR,Allarity Therapeutics,Biotechnology,16313154
ALLT,Allot,Software,308089532
ALLY,Ally Financial,Consumer Finance,15043800032
ALNA,Allena Pharmaceuticals,Biotechnology,20873843
ALNY,Alnylam Pharmaceuticals,Biotechnology,20043816900
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,223875900
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",109862198
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,191759290
ALPN,Alpine Immune Sciences,Biotechnology,283252640
ALPP,Alpine 4 Holdings,Metal Fabrication,214416527
ALR,AlerisLife,Medical Care Facilities,71435174
ALRM,Alarm.com Holdings,Software,3421181943
ALRN,Aileron Therapeutics,Biotechnology,46192536
ALRS,Alerus Financial,Diversified Financial Services,495580507
ALSA,Alpha Star Acquisition,Blank Check / SPAC,145432440
ALSN,Allison Transmission Holdings,Machinery,3967546873
ALT,Altimmune,Biotechnology,273599678
ALTG,Alta Equipment Group,Trading Companies & Distributors,400658879
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",513879964
ALTR,Altair Engineering,Software,5280193002
ALTU,Altitude Acquisition,Blank Check / SPAC,373500000
ALV,Autoliv,Auto Components,7063151058
ALVR,AlloVir,Biotechnology,514922555
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1323349652
ALXO,ALX Oncology Holdings,Biotechnology,756547376
ALYA,Alithya Group,IT Services,243048687
ALZN,Alzamend Neuro,Biotechnology,114430303
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",5321389054
AMAL,Amalgamated Financial,Banks,563805630
AMAM,Ambrx Biopharma,Biotechnology,154676760
AMAO,American Acquisition Opportunity,Blank Check / SPAC,137088679
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,1.24947E+11
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,4005955497
AMBC,Ambac Financial Group,Insurance,399888318
AMBO,Ambow Education Holding,Diversified Consumer Services,18541111
AMBP,Ardagh Metal Packaging,Packaging & Containers,5134057980
AMC,AMC Entertainment Holdings,Entertainment,15112434670
AMCI,AMCI Acquisition II,Blank Check / SPAC,182624990
AMCR,Amcor,Containers & Packaging,17513857014
AMCX,AMC Networks,Media,1830223715
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,2.0054E+11
AME,AMETEK,Electrical Equipment,31504383882
AMED,Amedisys,Health Care Providers & Services,5792501734
AMEH,Apollo Medical Holdings,Health Care Providers & Services,2267740915
AMG,Affiliated Managers Group,Capital Markets,5835903881
AMGN,Amgen,Biotechnology,1.34545E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,16281170925
AMK,AssetMark Financial Holdings,Capital Markets,1713294078
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5858505707
AMLX,Amylyx Pharmaceuticals,Biotechnology,843037320
AMN,AMN Healthcare Services,Health Care Providers & Services,4893110770
AMNB,American National Bankshares,Banks,414206490
AMOT,Allied Motion Technologies,Electrical Equipment,471442447
AMOV,America Movil,Wireless Telecommunication Services,67750834170
AMP,Ameriprise Financial,Capital Markets,34524352501
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,109022400
AMPG,AmpliTech Group,Communication Equipment,30183646
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1725103462
AMPI,Advanced Merger Partners,Blank Check / SPAC,351109375
AMPL,Amplitude,Software-Application,2129854577
AMPS,Altus Power,Utilities-Renewable,1173789052
AMPY,Amplify Energy,Oil & Gas E&P,216965934
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2417444520
AMRC,Ameresco,Construction & Engineering,4314323946
AMRK,A-Mark Precious Metals,Diversified Financial Services,948023580
AMRN,Amarin,Biotechnology,1340974463
AMRS,Amyris,Chemicals,1475311227
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1247972092
AMS,American Shared Hospital Services,Health Care Providers & Services,13731117
AMSC,American Superconductor,Electrical Equipment,232499400
AMSF,AMERISAFE,Insurance,966849513
AMST,Amesite,Software-Application,15214735
AMSWA,American Software,Software,723501812
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.14222E+11
AMTB,Amerant Bancorp,Banks,1110369278
AMTD,AMTD International,Capital Markets,2386716414
AMTI,Applied Molecular Transport,Biotechnology,289904250
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",397460188
AMWD,American Woodmark,Building Products,882550102
AMWL,American Well,Health Information Services,1103289854
AMX,America Movil,Wireless Telecommunication Services,67136389104
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,511703200
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.7231E+12
AN,AutoNation,Specialty Retail,6917193148
ANAB,AnaptysBio,Biotechnology,702325486
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386219833
ANAT,American National Group,Insurance,5086520306
ANDE,The Andersons,Food & Staples Retailing,1738136040
ANEB,Anebulo Pharmaceuticals,Biotechnology,144969966
ANET,Arista Networks,Communications Equipment,43267841971
ANF,Abercrombie & Fitch Company,Specialty Retail,1822684000
ANGH,Anghami,Entertainment,246867020
ANGI,Angi Inc.,Interactive Media & Services,3204186619
ANGN,Angion Biomedica,Biotechnology,67402127
ANGO,AngioDynamics,Health Care Equipment & Supplies,840926702
ANIK,Anika Therapeutics,Biotechnology,377444030
ANIP,ANI Pharmaceuticals,Pharmaceuticals,498645527
ANIX,Anixa Biosciences,Biotechnology,83974158
ANNX,Annexon,Biotechnology,114148256
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,7190260
ANSS,ANSYS,Software,28580908844
ANTE,AirNet Technology,Media,33455351
ANTM,Anthem,Health Care Providers & Services,1.18487E+11
ANTX,AN2 Therapeutics,Health Care,281284187
ANVS,Annovis Bio,Biotechnology,116825695
ANY,Sphere 3D,Software,146615406
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,519031259
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116479959
AOMR,Angel Oak Mortgage,REIT-Mortgage,415493598
AON,Aon plc,Insurance,69741469683
AORT,Artivion,Medical Devices,846035895
AOS,A. O. Smith,Building Products,10595912647
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1743993285
AOUT,American Outdoor Brands,Leisure Products,188531637
AP,Ampco-Pittsburgh,Metals & Mining,122819200
APA,APA Corporation,"Oil, Gas & Consumable Fuels",14203944960
APAC,Stonebridge Acquisition,Blank Check / SPAC,248749999
APAM,Artisan Partners Asset Management,Capital Markets,2650626535
APCA,AP Acquisition,Blank Check / SPAC,214762480
APCX,AppTech Payments,Software-Infrastructure,20226440
APD,Air Products & Chemicals,Chemicals,55948066770
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",17868474
APEI,American Public Education,Diversified Consumer Services,415779187
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,251607948
APG,APi Group,Construction & Engineering,5151580151
APGB,Apollo Strategic Growth Capital II,Shell Companies,843524990
APH,Amphenol,"Electronic Equipment, Instruments & C...",46334001107
API,Agora,"Electronic Equipment, Instruments & C...",1280374527
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,4234148595
APLS,Apellis Pharmaceuticals,Biotechnology,4760496591
APLT,Applied Therapeutics,Biotechnology,59509182
APM,Aptorum Group,Biotechnology,58071683
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180562490
APN,Apeiron Capital Investment,Blank Check / SPAC,214762490
APO,Apollo Global Management,Capital Markets,39425998817
APOG,Apogee Enterprises,Building Products,1241037055
APP,AppLovin,Software-Application,21038794732
APPF,AppFolio,Software,3995451085
APPH,AppHarvest,Food Products,610259452
APPN,Appian,Software,4807855104
APPS,Digital Turbine,Software,4554267610
APR,Apria,Medical Instruments & Supplies,1336679925
APRE,Aprea Therapeutics,Biotechnology,38455023
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,143826366
APSG,Apollo Strategic Growth Capital,Shell Companies,1014883949
APT,Alpha Pro Tech,Building Products,58619527
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,350559965
APTO,Aptose Biosciences,Biotechnology,112519624
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1403146870
APTV,Aptiv,Auto Components,34173218730
APTX,Aptinyx,Biotechnology,176737950
APVO,Aptevo Therapeutics,Biotechnology,30393946
APWC,Asia Pacific Wire & Cable,Electrical Equipment,38964614
APXI,APx Acquisition I,Blank Check / SPAC,214439052
APYX,Apyx Medical,Health Care Equipment & Supplies,241343785
AQB,AquaBounty Technologies,Biotechnology,139375006
AQMS,Aqua Metals,Commercial Services & Supplies,111249518
AQN,Algonquin Power & Utilities,Multi-Utilities,10521127929
AQST,Aquestive Therapeutics,Pharmaceuticals,111317487
AQUA,Evoqua Water Technologies,Machinery,5576018907
AR,Antero Resources,"Oil, Gas & Consumable Fuels",9715005429
ARAV,Aravive,Biotechnology,39625700
ARAY,Accuray,Health Care Equipment & Supplies,312511901
ARBE,Arbe Robotics,Software-Infrastructure,390832282
